population,group,n,continuation_count,continuation_rate,neutral_count,neutral_rate,stall_count,stall_rate,friday_return_mean,friday_return_median,friday_excess_mean,friday_excess_median
all_qualified,unconditional,2448,408,0.16666666666666666,862,0.352124183006536,1178,0.4812091503267974,-0.00013744892507572997,0.0010054442452136002,0.0002672980438839885,-5.298812876475267e-06
all_qualified,higher_lean_gt50,1221,309,0.25307125307125306,329,0.26945126945126946,583,0.4774774774774775,0.00010104250956441277,0.0010154558494446,1.6975413417845658e-05,-0.0006998969935111
all_qualified,lower_lean_lt50,1224,99,0.08088235294117647,532,0.434640522875817,593,0.48447712418300654,-0.00037449325910531917,0.0009484332324209499,0.0005163402941951124,0.0005939571741458
all_qualified,balanced_eq50,0,0,,0,,0,,,,,
all_qualified,unscorable,3,0,0.0,1,0.3333333333333333,2,0.6666666666666666,-0.0004893745395415337,-0.0024258596844262,0.0005393705166656,-0.0037128187373847
pm_top10,unconditional,460,86,0.18695652173913044,157,0.34130434782608693,217,0.4717391304347826,-0.0003903715199487367,0.00139505182501405,-0.00025192657048620225,0.0004795168310337
pm_top10,higher_lean_gt50,273,70,0.2564102564102564,69,0.25274725274725274,134,0.4908424908424908,-0.00038074236230688105,0.0003301584074113,0.00013244724047134905,-0.0006772356861242
pm_top10,lower_lean_lt50,187,16,0.0855614973262032,88,0.47058823529411764,83,0.44385026737967914,-0.00040442906024941444,0.0029099802983556,-0.0008130712249857276,0.0019152526157886
pm_top10,balanced_eq50,0,0,,0,,0,,,,,
pm_top10,unscorable,0,0,,0,,0,,,,,
